Epoch 1 | Train Loss: 0.84884301 | Test Loss: 0.12733378 | Train Error: 2.22387423 | Test Error: 2.72448293 | Train Error_abs: 2.48758948 | Test Error_abs: 2.78062796
Epoch 2 | Train Loss: 0.14747497 | Test Loss: 0.11384846 | Train Error: 3.04905673 | Test Error: 2.85516312 | Train Error_abs: 3.09815727 | Test Error_abs: 2.89646781
Epoch 3 | Train Loss: 0.12996895 | Test Loss: 0.10199844 | Train Error: 3.06606893 | Test Error: 2.65604552 | Train Error_abs: 3.10431539 | Test Error_abs: 2.74437685
Epoch 4 | Train Loss: 0.09106105 | Test Loss: 0.06874420 | Train Error: 2.16117371 | Test Error: 1.69199828 | Train Error_abs: 2.26895678 | Test Error_abs: 1.82616046
Epoch 5 | Train Loss: 0.07385061 | Test Loss: 0.06372833 | Train Error: 1.88941652 | Test Error: 1.63097443 | Train Error_abs: 2.01101185 | Test Error_abs: 1.77144834
Epoch 6 | Train Loss: 0.06930616 | Test Loss: 0.05957866 | Train Error: 1.86388127 | Test Error: 1.60164503 | Train Error_abs: 1.98909897 | Test Error_abs: 1.74786766
Epoch 7 | Train Loss: 0.06479966 | Test Loss: 0.05704684 | Train Error: 1.84920424 | Test Error: 1.55239979 | Train Error_abs: 1.97477652 | Test Error_abs: 1.72197203
Epoch 8 | Train Loss: 0.06016282 | Test Loss: 0.05207578 | Train Error: 1.72801851 | Test Error: 1.35590391 | Train Error_abs: 1.85915511 | Test Error_abs: 1.51040755
Epoch 9 | Train Loss: 0.05426335 | Test Loss: 0.04867277 | Train Error: 1.46216818 | Test Error: 1.24529989 | Train Error_abs: 1.60071244 | Test Error_abs: 1.39338269
Epoch 10 | Train Loss: 0.05084891 | Test Loss: 0.04680914 | Train Error: 1.33081377 | Test Error: 1.17219740 | Train Error_abs: 1.47051307 | Test Error_abs: 1.33246968
Epoch 11 | Train Loss: 0.04847642 | Test Loss: 0.04466065 | Train Error: 1.28373842 | Test Error: 1.11592078 | Train Error_abs: 1.42275004 | Test Error_abs: 1.27263594
Epoch 12 | Train Loss: 0.04654394 | Test Loss: 0.04339747 | Train Error: 1.25190935 | Test Error: 1.08064817 | Train Error_abs: 1.38963700 | Test Error_abs: 1.23938292
Epoch 13 | Train Loss: 0.04506750 | Test Loss: 0.04283106 | Train Error: 1.22363366 | Test Error: 1.05548750 | Train Error_abs: 1.36067557 | Test Error_abs: 1.22059848
Epoch 14 | Train Loss: 0.04368412 | Test Loss: 0.04095198 | Train Error: 1.20582906 | Test Error: 1.02746571 | Train Error_abs: 1.34111365 | Test Error_abs: 1.18805190
Epoch 15 | Train Loss: 0.04235239 | Test Loss: 0.03952324 | Train Error: 1.18658281 | Test Error: 1.02757800 | Train Error_abs: 1.32041762 | Test Error_abs: 1.17337171
Epoch 16 | Train Loss: 0.04117084 | Test Loss: 0.03834284 | Train Error: 1.17814954 | Test Error: 1.01507701 | Train Error_abs: 1.31022663 | Test Error_abs: 1.16363628
Epoch 17 | Train Loss: 0.04008938 | Test Loss: 0.03759382 | Train Error: 1.15980082 | Test Error: 1.00040164 | Train Error_abs: 1.29102191 | Test Error_abs: 1.15303786
Epoch 18 | Train Loss: 0.03904360 | Test Loss: 0.03747758 | Train Error: 1.14158593 | Test Error: 0.96085576 | Train Error_abs: 1.27192552 | Test Error_abs: 1.12382854
Epoch 19 | Train Loss: 0.03826368 | Test Loss: 0.03572665 | Train Error: 1.12099202 | Test Error: 0.97937336 | Train Error_abs: 1.25094772 | Test Error_abs: 1.11962892
Epoch 20 | Train Loss: 0.03726474 | Test Loss: 0.03484837 | Train Error: 1.10284893 | Test Error: 0.95054293 | Train Error_abs: 1.23198424 | Test Error_abs: 1.09386479
Epoch 21 | Train Loss: 0.03631649 | Test Loss: 0.03464833 | Train Error: 1.08030531 | Test Error: 0.94245937 | Train Error_abs: 1.20886552 | Test Error_abs: 1.08433806
Epoch 22 | Train Loss: 0.03549857 | Test Loss: 0.03364317 | Train Error: 1.06772758 | Test Error: 0.93413499 | Train Error_abs: 1.19635860 | Test Error_abs: 1.07680925
Epoch 23 | Train Loss: 0.03471768 | Test Loss: 0.03246871 | Train Error: 1.05083086 | Test Error: 0.89893428 | Train Error_abs: 1.17987971 | Test Error_abs: 1.04453032
Epoch 24 | Train Loss: 0.03389591 | Test Loss: 0.03175373 | Train Error: 1.03602596 | Test Error: 0.89086082 | Train Error_abs: 1.16522311 | Test Error_abs: 1.03650803
Epoch 25 | Train Loss: 0.03304035 | Test Loss: 0.03075805 | Train Error: 1.02467747 | Test Error: 0.87613722 | Train Error_abs: 1.15339154 | Test Error_abs: 1.02407599
Epoch 26 | Train Loss: 0.03225019 | Test Loss: 0.03020819 | Train Error: 1.00941861 | Test Error: 0.89385210 | Train Error_abs: 1.13856488 | Test Error_abs: 1.03274435
Epoch 27 | Train Loss: 0.03171786 | Test Loss: 0.02963023 | Train Error: 1.00440197 | Test Error: 0.84433862 | Train Error_abs: 1.13345883 | Test Error_abs: 0.99411659
Epoch 28 | Train Loss: 0.03104170 | Test Loss: 0.02905750 | Train Error: 0.98157547 | Test Error: 0.87250135 | Train Error_abs: 1.11040088 | Test Error_abs: 1.01023362
