Epoch 1 | Train Loss: 0.21905546 | Test Loss: 0.21397447 | Train Error: -0.97219853 | Test Error: -1.73245267 | Train Error_abs: 3.14705706 | Test Error_abs: 3.28995185
Epoch 2 | Train Loss: 0.21136475 | Test Loss: 0.20354247 | Train Error: -1.16616883 | Test Error: -2.09881612 | Train Error_abs: 3.64232231 | Test Error_abs: 4.58267447
Epoch 3 | Train Loss: 0.20066345 | Test Loss: 0.18674212 | Train Error: -1.13648568 | Test Error: -1.88866982 | Train Error_abs: 4.06798400 | Test Error_abs: 5.79394445
Epoch 4 | Train Loss: 0.18563492 | Test Loss: 0.16915766 | Train Error: -0.99413035 | Test Error: -0.47922733 | Train Error_abs: 5.22107242 | Test Error_abs: 6.05160627
Epoch 5 | Train Loss: 0.17146349 | Test Loss: 0.15578238 | Train Error: -1.69517380 | Test Error: -0.43965284 | Train Error_abs: 6.87970069 | Test Error_abs: 7.25556142
Epoch 6 | Train Loss: 0.16090972 | Test Loss: 0.14630337 | Train Error: -1.30340099 | Test Error: -1.86808077 | Train Error_abs: 7.89584494 | Test Error_abs: 9.40428602
Epoch 7 | Train Loss: 0.15294711 | Test Loss: 0.13907213 | Train Error: -1.25361865 | Test Error: -3.32852960 | Train Error_abs: 7.75901198 | Test Error_abs: 11.29426415
Epoch 8 | Train Loss: 0.14669379 | Test Loss: 0.13336138 | Train Error: -1.34703957 | Test Error: -5.07370328 | Train Error_abs: 8.33339657 | Test Error_abs: 13.41067497
Epoch 9 | Train Loss: 0.14145833 | Test Loss: 0.12852807 | Train Error: -0.62158610 | Test Error: -6.25258838 | Train Error_abs: 8.91693629 | Test Error_abs: 14.86193170
Epoch 10 | Train Loss: 0.13699259 | Test Loss: 0.12424559 | Train Error: -0.61128848 | Test Error: -7.26461109 | Train Error_abs: 9.16619417 | Test Error_abs: 16.18882799
Epoch 11 | Train Loss: 0.13280331 | Test Loss: 0.12015395 | Train Error: -0.68157409 | Test Error: -8.27556674 | Train Error_abs: 9.32806392 | Test Error_abs: 17.39799780
