Epoch 1 | Train Loss: 0.35334024 | Test Loss: 0.33880976 | Train Error: -1.31199882 | Test Error: -1.22557093 | Train Error_abs: 3.23733658 | Test Error_abs: 3.60196009
Epoch 2 | Train Loss: 0.33547919 | Test Loss: 0.31889828 | Train Error: -1.18753057 | Test Error: -1.62768044 | Train Error_abs: 4.93438250 | Test Error_abs: 5.11893592
Epoch 3 | Train Loss: 0.31674330 | Test Loss: 0.29184267 | Train Error: -1.15358440 | Test Error: -1.97565570 | Train Error_abs: 5.51403562 | Test Error_abs: 5.22284466
Epoch 4 | Train Loss: 0.28663199 | Test Loss: 0.24952388 | Train Error: -1.31243836 | Test Error: -2.67233385 | Train Error_abs: 5.85323109 | Test Error_abs: 5.95480045
Epoch 5 | Train Loss: 0.24633407 | Test Loss: 0.20813906 | Train Error: -0.99653129 | Test Error: -3.34978815 | Train Error_abs: 6.42016315 | Test Error_abs: 7.83241564
Epoch 6 | Train Loss: 0.21539078 | Test Loss: 0.18891460 | Train Error: -0.80029979 | Test Error: -3.74094165 | Train Error_abs: 7.75658093 | Test Error_abs: 9.21507558
Epoch 7 | Train Loss: 0.20103442 | Test Loss: 0.18159848 | Train Error: -0.44752698 | Test Error: -3.97907399 | Train Error_abs: 8.50041186 | Test Error_abs: 9.95815016
Epoch 8 | Train Loss: 0.19412624 | Test Loss: 0.17819515 | Train Error: -0.41704537 | Test Error: -4.04615848 | Train Error_abs: 9.22131837 | Test Error_abs: 10.20073191
Epoch 9 | Train Loss: 0.18989776 | Test Loss: 0.17455012 | Train Error: -0.16395352 | Test Error: -4.12945588 | Train Error_abs: 9.16252429 | Test Error_abs: 10.37227773
Epoch 10 | Train Loss: 0.18633787 | Test Loss: 0.17177467 | Train Error: -0.23930211 | Test Error: -4.16046331 | Train Error_abs: 9.05458350 | Test Error_abs: 10.48054269
Epoch 11 | Train Loss: 0.18287539 | Test Loss: 0.16858464 | Train Error: -0.03712885 | Test Error: -4.15240863 | Train Error_abs: 9.17468229 | Test Error_abs: 10.42609384
Epoch 12 | Train Loss: 0.17947010 | Test Loss: 0.16447634 | Train Error: -0.29644198 | Test Error: -4.17765917 | Train Error_abs: 8.65570385 | Test Error_abs: 10.47533814
Epoch 13 | Train Loss: 0.17547236 | Test Loss: 0.16031032 | Train Error: -0.25582570 | Test Error: -4.17020161 | Train Error_abs: 9.44729058 | Test Error_abs: 10.53618701
Epoch 14 | Train Loss: 0.17108160 | Test Loss: 0.15520545 | Train Error: 0.00373904 | Test Error: -4.12194253 | Train Error_abs: 9.38767131 | Test Error_abs: 10.39070823
Epoch 15 | Train Loss: 0.16647288 | Test Loss: 0.14967980 | Train Error: 0.03666786 | Test Error: -4.12533567 | Train Error_abs: 9.22388554 | Test Error_abs: 10.48453135
Epoch 16 | Train Loss: 0.16145846 | Test Loss: 0.14418322 | Train Error: -0.97393827 | Test Error: -4.07899392 | Train Error_abs: 9.26619078 | Test Error_abs: 10.48968345
Epoch 17 | Train Loss: 0.15606128 | Test Loss: 0.13874461 | Train Error: -0.25049020 | Test Error: -4.01888238 | Train Error_abs: 9.34467500 | Test Error_abs: 10.57068388
Epoch 18 | Train Loss: 0.15090647 | Test Loss: 0.13233183 | Train Error: -0.35742729 | Test Error: -4.01126327 | Train Error_abs: 9.02802706 | Test Error_abs: 10.61909333
Epoch 19 | Train Loss: 0.14545614 | Test Loss: 0.12665590 | Train Error: -0.12126613 | Test Error: -3.99752432 | Train Error_abs: 9.37047655 | Test Error_abs: 10.64939948
Epoch 20 | Train Loss: 0.14036027 | Test Loss: 0.12124485 | Train Error: -0.39268717 | Test Error: -3.97176497 | Train Error_abs: 9.28356915 | Test Error_abs: 10.65935104
Epoch 21 | Train Loss: 0.13558524 | Test Loss: 0.11594303 | Train Error: -0.40133269 | Test Error: -3.93755849 | Train Error_abs: 9.34213698 | Test Error_abs: 10.57054216
Epoch 22 | Train Loss: 0.13090029 | Test Loss: 0.11108112 | Train Error: 0.05231580 | Test Error: -3.97921708 | Train Error_abs: 9.61278450 | Test Error_abs: 10.64677612
Epoch 23 | Train Loss: 0.12641434 | Test Loss: 0.10670990 | Train Error: -0.05368854 | Test Error: -3.95482733 | Train Error_abs: 9.48031804 | Test Error_abs: 10.59355815
Epoch 24 | Train Loss: 0.12204121 | Test Loss: 0.10219624 | Train Error: -0.19951063 | Test Error: -3.98038404 | Train Error_abs: 9.28699397 | Test Error_abs: 10.57392112
Epoch 25 | Train Loss: 0.11797573 | Test Loss: 0.09837268 | Train Error: 0.27232798 | Test Error: -4.01063227 | Train Error_abs: 9.58160010 | Test Error_abs: 10.58150238
Epoch 26 | Train Loss: 0.11416389 | Test Loss: 0.09434385 | Train Error: -0.20410033 | Test Error: -4.11357856 | Train Error_abs: 9.58820238 | Test Error_abs: 10.56786158
Epoch 27 | Train Loss: 0.11071038 | Test Loss: 0.09109364 | Train Error: 0.10108272 | Test Error: -4.15422984 | Train Error_abs: 9.16072218 | Test Error_abs: 10.60556405
Epoch 28 | Train Loss: 0.10716903 | Test Loss: 0.08806648 | Train Error: -0.33120189 | Test Error: -4.23481759 | Train Error_abs: 9.55311823 | Test Error_abs: 10.67788988
Epoch 29 | Train Loss: 0.10394330 | Test Loss: 0.08488240 | Train Error: -0.13203879 | Test Error: -4.30703300 | Train Error_abs: 9.22022663 | Test Error_abs: 10.76814163
Epoch 30 | Train Loss: 0.10075236 | Test Loss: 0.08194042 | Train Error: 0.11333638 | Test Error: -4.34343186 | Train Error_abs: 9.15402106 | Test Error_abs: 10.67290236
Epoch 31 | Train Loss: 0.09768043 | Test Loss: 0.07897469 | Train Error: -0.23443060 | Test Error: -4.39999933 | Train Error_abs: 8.76019919 | Test Error_abs: 10.59772820
Epoch 32 | Train Loss: 0.09505230 | Test Loss: 0.07650693 | Train Error: -0.15102788 | Test Error: -4.45055908 | Train Error_abs: 8.86253768 | Test Error_abs: 10.65987662
Epoch 33 | Train Loss: 0.09223674 | Test Loss: 0.07425641 | Train Error: -0.07545971 | Test Error: -4.44263483 | Train Error_abs: 9.07924946 | Test Error_abs: 10.64492427
Epoch 34 | Train Loss: 0.08983553 | Test Loss: 0.07178957 | Train Error: 0.05930322 | Test Error: -4.43747773 | Train Error_abs: 9.33165286 | Test Error_abs: 10.51379092
Epoch 35 | Train Loss: 0.08729192 | Test Loss: 0.06970933 | Train Error: 0.13532429 | Test Error: -4.38976812 | Train Error_abs: 8.90698849 | Test Error_abs: 10.41911981
Epoch 36 | Train Loss: 0.08509418 | Test Loss: 0.06746340 | Train Error: -0.35133120 | Test Error: -4.40209022 | Train Error_abs: 8.63771446 | Test Error_abs: 10.40043814
Epoch 37 | Train Loss: 0.08277507 | Test Loss: 0.06571640 | Train Error: 0.14708029 | Test Error: -4.35278255 | Train Error_abs: 8.56656655 | Test Error_abs: 10.30562041
Epoch 38 | Train Loss: 0.08098880 | Test Loss: 0.06420833 | Train Error: 0.54811723 | Test Error: -4.32315503 | Train Error_abs: 8.92962198 | Test Error_abs: 10.25561784
Epoch 39 | Train Loss: 0.07893781 | Test Loss: 0.06245402 | Train Error: 0.03656967 | Test Error: -4.32796116 | Train Error_abs: 9.07385045 | Test Error_abs: 10.20647490
Epoch 40 | Train Loss: 0.07714227 | Test Loss: 0.06093902 | Train Error: 0.61691366 | Test Error: -4.27921191 | Train Error_abs: 8.58473229 | Test Error_abs: 10.09958634
Epoch 41 | Train Loss: 0.07523729 | Test Loss: 0.05938265 | Train Error: 0.25965099 | Test Error: -4.22660111 | Train Error_abs: 8.38491572 | Test Error_abs: 10.01611443
Epoch 42 | Train Loss: 0.07349104 | Test Loss: 0.05822479 | Train Error: 0.08972379 | Test Error: -4.20025213 | Train Error_abs: 8.37518099 | Test Error_abs: 9.90835386
Epoch 43 | Train Loss: 0.07210814 | Test Loss: 0.05683326 | Train Error: -0.46228117 | Test Error: -4.14157018 | Train Error_abs: 8.53109756 | Test Error_abs: 9.80363586
Epoch 44 | Train Loss: 0.07058708 | Test Loss: 0.05558957 | Train Error: -0.39828931 | Test Error: -4.09574838 | Train Error_abs: 8.13463150 | Test Error_abs: 9.72142096
Epoch 45 | Train Loss: 0.06920453 | Test Loss: 0.05431900 | Train Error: 0.57176345 | Test Error: -4.05665514 | Train Error_abs: 8.78715820 | Test Error_abs: 9.61934167
Epoch 46 | Train Loss: 0.06778155 | Test Loss: 0.05347621 | Train Error: -0.01071865 | Test Error: -4.07245405 | Train Error_abs: 8.17696283 | Test Error_abs: 9.67116377
Epoch 47 | Train Loss: 0.06644434 | Test Loss: 0.05224405 | Train Error: 0.45555827 | Test Error: -4.03611598 | Train Error_abs: 8.46473859 | Test Error_abs: 9.57527014
Epoch 48 | Train Loss: 0.06538752 | Test Loss: 0.05153266 | Train Error: 0.05429036 | Test Error: -4.00151674 | Train Error_abs: 8.49908435 | Test Error_abs: 9.55814272
Epoch 49 | Train Loss: 0.06415329 | Test Loss: 0.05061882 | Train Error: 0.13402064 | Test Error: -3.98817158 | Train Error_abs: 8.36355935 | Test Error_abs: 9.51987720
Epoch 50 | Train Loss: 0.06304786 | Test Loss: 0.04988122 | Train Error: 0.62103967 | Test Error: -3.97522307 | Train Error_abs: 8.30305466 | Test Error_abs: 9.51691712
Epoch 51 | Train Loss: 0.06231231 | Test Loss: 0.04918642 | Train Error: -0.29148842 | Test Error: -3.93651507 | Train Error_abs: 8.15078430 | Test Error_abs: 9.46789694
Epoch 52 | Train Loss: 0.06113555 | Test Loss: 0.04839922 | Train Error: -0.18738636 | Test Error: -3.92551305 | Train Error_abs: 8.18993170 | Test Error_abs: 9.41937356
Epoch 53 | Train Loss: 0.06031937 | Test Loss: 0.04748774 | Train Error: -0.08801057 | Test Error: -3.89692854 | Train Error_abs: 8.11347858 | Test Error_abs: 9.34351364
Epoch 54 | Train Loss: 0.05944307 | Test Loss: 0.04691553 | Train Error: 0.08825076 | Test Error: -3.89271464 | Train Error_abs: 8.04214481 | Test Error_abs: 9.33476905
Epoch 55 | Train Loss: 0.05858006 | Test Loss: 0.04653215 | Train Error: 0.18695660 | Test Error: -3.85653422 | Train Error_abs: 8.10373650 | Test Error_abs: 9.32951777
Epoch 56 | Train Loss: 0.05790759 | Test Loss: 0.04588176 | Train Error: -0.05137446 | Test Error: -3.84047368 | Train Error_abs: 8.05602867 | Test Error_abs: 9.24919452
Epoch 57 | Train Loss: 0.05707439 | Test Loss: 0.04537941 | Train Error: 0.35599139 | Test Error: -3.84136753 | Train Error_abs: 8.62865710 | Test Error_abs: 9.25670568
Epoch 58 | Train Loss: 0.05644691 | Test Loss: 0.04474557 | Train Error: -0.04614321 | Test Error: -3.79166486 | Train Error_abs: 8.02303907 | Test Error_abs: 9.15645895
Epoch 59 | Train Loss: 0.05569110 | Test Loss: 0.04445601 | Train Error: -0.21686704 | Test Error: -3.76914040 | Train Error_abs: 8.02677735 | Test Error_abs: 9.15349275
Epoch 60 | Train Loss: 0.05502235 | Test Loss: 0.04396923 | Train Error: 0.03079953 | Test Error: -3.76943372 | Train Error_abs: 7.84637971 | Test Error_abs: 9.13838617
Epoch 61 | Train Loss: 0.05446705 | Test Loss: 0.04336185 | Train Error: -0.12556273 | Test Error: -3.72220963 | Train Error_abs: 7.92495730 | Test Error_abs: 9.07902926
Epoch 62 | Train Loss: 0.05384086 | Test Loss: 0.04284401 | Train Error: 0.27234212 | Test Error: -3.69944312 | Train Error_abs: 7.85230071 | Test Error_abs: 9.01623960
Epoch 63 | Train Loss: 0.05329931 | Test Loss: 0.04259477 | Train Error: 0.49386880 | Test Error: -3.70809928 | Train Error_abs: 8.10267800 | Test Error_abs: 9.04752853
Epoch 64 | Train Loss: 0.05276612 | Test Loss: 0.04223090 | Train Error: -0.10720595 | Test Error: -3.69034761 | Train Error_abs: 7.81265667 | Test Error_abs: 8.99084071
Epoch 65 | Train Loss: 0.05225176 | Test Loss: 0.04150451 | Train Error: -0.14792404 | Test Error: -3.68235687 | Train Error_abs: 8.06124891 | Test Error_abs: 8.93021911
Epoch 66 | Train Loss: 0.05180027 | Test Loss: 0.04156590 | Train Error: -0.17148548 | Test Error: -3.65125613 | Train Error_abs: 8.22802545 | Test Error_abs: 8.92960400
Epoch 67 | Train Loss: 0.05117045 | Test Loss: 0.04089710 | Train Error: -0.07652438 | Test Error: -3.62506971 | Train Error_abs: 8.10102166 | Test Error_abs: 8.85289397
Epoch 68 | Train Loss: 0.05072993 | Test Loss: 0.04053607 | Train Error: 0.07593575 | Test Error: -3.60982806 | Train Error_abs: 8.06600920 | Test Error_abs: 8.81436954
Epoch 69 | Train Loss: 0.05023819 | Test Loss: 0.04028876 | Train Error: -0.54916185 | Test Error: -3.60106060 | Train Error_abs: 8.30072929 | Test Error_abs: 8.79749183
Epoch 70 | Train Loss: 0.04983596 | Test Loss: 0.04002658 | Train Error: -0.18653524 | Test Error: -3.55505404 | Train Error_abs: 8.05532851 | Test Error_abs: 8.74255827
Epoch 71 | Train Loss: 0.04947213 | Test Loss: 0.03971264 | Train Error: 0.23184100 | Test Error: -3.55559791 | Train Error_abs: 7.86237638 | Test Error_abs: 8.73212571
