Epoch 1 | Train Loss: 3.45040076 | Test Loss: 0.76765227 | Train Error: -2.58452289 | Test Error: 0.13498503 | Train Error_abs: 35.20177280 | Test Error_abs: 13.83532287
Epoch 2 | Train Loss: 2.21766396 | Test Loss: 0.50091559 | Train Error: -7.58508640 | Test Error: -0.24128558 | Train Error_abs: 31.71914951 | Test Error_abs: 9.03975514
Epoch 3 | Train Loss: 1.64359504 | Test Loss: 0.42153605 | Train Error: -9.56674495 | Test Error: -0.45119248 | Train Error_abs: 30.03002979 | Test Error_abs: 6.51052426
Epoch 4 | Train Loss: 1.28705220 | Test Loss: 0.38360581 | Train Error: 11.43969931 | Test Error: -0.75434890 | Train Error_abs: 31.93986103 | Test Error_abs: 5.02301363
Epoch 5 | Train Loss: 1.04480995 | Test Loss: 0.36791552 | Train Error: -4.29106935 | Test Error: -1.05280397 | Train Error_abs: 21.15155952 | Test Error_abs: 4.31483619
Epoch 6 | Train Loss: 0.86638460 | Test Loss: 0.35967641 | Train Error: -2.89571895 | Test Error: -1.15753967 | Train Error_abs: 17.21430272 | Test Error_abs: 3.47068035
Epoch 7 | Train Loss: 0.73698137 | Test Loss: 0.35522815 | Train Error: 2.70610773 | Test Error: -1.18504149 | Train Error_abs: 17.48257956 | Test Error_abs: 2.66011670
Epoch 8 | Train Loss: 0.64135943 | Test Loss: 0.35468364 | Train Error: 1.05048047 | Test Error: -1.12967788 | Train Error_abs: 13.93454952 | Test Error_abs: 2.13943126
Epoch 9 | Train Loss: 0.56990902 | Test Loss: 0.35568654 | Train Error: 1.18622202 | Test Error: -1.14034045 | Train Error_abs: 11.87562166 | Test Error_abs: 1.85777258
Epoch 10 | Train Loss: 0.51600624 | Test Loss: 0.35739481 | Train Error: -1.16763764 | Test Error: -1.18984679 | Train Error_abs: 9.97262429 | Test Error_abs: 1.82348653
Epoch 11 | Train Loss: 0.47660911 | Test Loss: 0.35808738 | Train Error: -3.47162148 | Test Error: -1.20725800 | Train Error_abs: 9.91742261 | Test Error_abs: 1.81907322
Epoch 12 | Train Loss: 0.44816045 | Test Loss: 0.35814113 | Train Error: 2.00939713 | Test Error: -1.21303863 | Train Error_abs: 9.95455818 | Test Error_abs: 1.82480472
Epoch 13 | Train Loss: 0.42628682 | Test Loss: 0.35812087 | Train Error: -2.16224214 | Test Error: -1.21462937 | Train Error_abs: 6.61153951 | Test Error_abs: 1.82647547
Epoch 14 | Train Loss: 0.40984989 | Test Loss: 0.35806346 | Train Error: -2.11693391 | Test Error: -1.21454232 | Train Error_abs: 7.76527964 | Test Error_abs: 1.82650981
Epoch 15 | Train Loss: 0.39863728 | Test Loss: 0.35795738 | Train Error: 1.41158989 | Test Error: -1.21441649 | Train Error_abs: 7.69317856 | Test Error_abs: 1.82654519
Epoch 16 | Train Loss: 0.38963634 | Test Loss: 0.35783533 | Train Error: -1.01139946 | Test Error: -1.21427445 | Train Error_abs: 4.86291132 | Test Error_abs: 1.82662100
Epoch 17 | Train Loss: 0.38255177 | Test Loss: 0.35770478 | Train Error: -1.72474513 | Test Error: -1.21411911 | Train Error_abs: 4.86862800 | Test Error_abs: 1.82673738
Epoch 18 | Train Loss: 0.37684653 | Test Loss: 0.35756957 | Train Error: -1.22820779 | Test Error: -1.21396538 | Train Error_abs: 4.21041626 | Test Error_abs: 1.82691365
Epoch 19 | Train Loss: 0.37334043 | Test Loss: 0.35742123 | Train Error: -0.88361903 | Test Error: -1.21378942 | Train Error_abs: 4.16091060 | Test Error_abs: 1.82710677
Epoch 20 | Train Loss: 0.36986978 | Test Loss: 0.35726143 | Train Error: -1.09413815 | Test Error: -1.21358422 | Train Error_abs: 3.59814737 | Test Error_abs: 1.82730944
Epoch 21 | Train Loss: 0.36724426 | Test Loss: 0.35710846 | Train Error: -0.49509829 | Test Error: -1.21339747 | Train Error_abs: 3.67654698 | Test Error_abs: 1.82764734
Epoch 22 | Train Loss: 0.36519282 | Test Loss: 0.35693709 | Train Error: 0.33678317 | Test Error: -1.21316885 | Train Error_abs: 4.50961990 | Test Error_abs: 1.82811360
Epoch 23 | Train Loss: 0.36348314 | Test Loss: 0.35675070 | Train Error: -1.09097977 | Test Error: -1.21292365 | Train Error_abs: 3.41845758 | Test Error_abs: 1.82859325
