Epoch 1 | Train Loss: 3.72949694 | Test Loss: 0.56968321 | Train Error: 10.31154516 | Test Error: -2.02687575 | Train Error_abs: 65.00946138 | Test Error_abs: 15.80303535
Epoch 2 | Train Loss: 2.38185955 | Test Loss: 0.35410216 | Train Error: -5.07468240 | Test Error: -0.60999051 | Train Error_abs: 47.34351282 | Test Error_abs: 11.89827131
Epoch 3 | Train Loss: 1.74021777 | Test Loss: 0.29658735 | Train Error: -1.50745088 | Test Error: -0.55149169 | Train Error_abs: 36.43046574 | Test Error_abs: 9.11243020
Epoch 4 | Train Loss: 1.33974710 | Test Loss: 0.27087463 | Train Error: 0.03069503 | Test Error: -0.51882749 | Train Error_abs: 33.01327560 | Test Error_abs: 7.45224566
Epoch 5 | Train Loss: 1.05802651 | Test Loss: 0.25548121 | Train Error: -4.29185315 | Test Error: -0.45507146 | Train Error_abs: 30.81910419 | Test Error_abs: 6.50975451
Epoch 6 | Train Loss: 0.85063325 | Test Loss: 0.24248003 | Train Error: 0.36720793 | Test Error: 0.01182313 | Train Error_abs: 25.07556006 | Test Error_abs: 5.67481466
Epoch 7 | Train Loss: 0.69486937 | Test Loss: 0.23261182 | Train Error: -0.02728789 | Test Error: -0.59836621 | Train Error_abs: 21.63371598 | Test Error_abs: 3.97808423
Epoch 8 | Train Loss: 0.57691666 | Test Loss: 0.22631275 | Train Error: -6.02326335 | Test Error: -0.85700421 | Train Error_abs: 22.71807926 | Test Error_abs: 2.94964632
Epoch 9 | Train Loss: 0.48980993 | Test Loss: 0.22435880 | Train Error: -1.01753404 | Test Error: -0.80788967 | Train Error_abs: 17.20995568 | Test Error_abs: 2.52991091
Epoch 10 | Train Loss: 0.42325490 | Test Loss: 0.22479642 | Train Error: -2.76283692 | Test Error: -1.02091744 | Train Error_abs: 15.47493525 | Test Error_abs: 2.30226185
Epoch 11 | Train Loss: 0.37450863 | Test Loss: 0.22628829 | Train Error: -1.79327380 | Test Error: -1.12311363 | Train Error_abs: 13.49914114 | Test Error_abs: 2.21303803
Epoch 12 | Train Loss: 0.33726204 | Test Loss: 0.22693024 | Train Error: -1.31246627 | Test Error: -1.11892346 | Train Error_abs: 11.82002002 | Test Error_abs: 2.18539739
Epoch 13 | Train Loss: 0.31076353 | Test Loss: 0.22716222 | Train Error: -0.02701518 | Test Error: -1.11871211 | Train Error_abs: 9.71870708 | Test Error_abs: 2.17393142
Epoch 14 | Train Loss: 0.29024300 | Test Loss: 0.22727186 | Train Error: 1.46627916 | Test Error: -1.11349863 | Train Error_abs: 9.59852853 | Test Error_abs: 2.16628124
Epoch 15 | Train Loss: 0.27511354 | Test Loss: 0.22724579 | Train Error: -0.34964694 | Test Error: -1.10809698 | Train Error_abs: 7.77601431 | Test Error_abs: 2.16311993
Epoch 16 | Train Loss: 0.26378683 | Test Loss: 0.22718286 | Train Error: -1.11244635 | Test Error: -1.10597573 | Train Error_abs: 7.06954896 | Test Error_abs: 2.16362890
Epoch 17 | Train Loss: 0.25529553 | Test Loss: 0.22711547 | Train Error: 1.08689933 | Test Error: -1.10376366 | Train Error_abs: 8.37651007 | Test Error_abs: 2.16439089
Epoch 18 | Train Loss: 0.24852641 | Test Loss: 0.22704644 | Train Error: -0.37075863 | Test Error: -1.10151327 | Train Error_abs: 6.22207968 | Test Error_abs: 2.16524380
Epoch 19 | Train Loss: 0.24370278 | Test Loss: 0.22697648 | Train Error: -0.79996482 | Test Error: -1.09925065 | Train Error_abs: 5.60061806 | Test Error_abs: 2.16626162
Epoch 20 | Train Loss: 0.23962532 | Test Loss: 0.22690583 | Train Error: -0.79024031 | Test Error: -1.09691239 | Train Error_abs: 4.55908718 | Test Error_abs: 2.16735055
Epoch 21 | Train Loss: 0.23634162 | Test Loss: 0.22683523 | Train Error: -1.24809431 | Test Error: -1.09457962 | Train Error_abs: 5.11433312 | Test Error_abs: 2.16850142
Epoch 22 | Train Loss: 0.23381571 | Test Loss: 0.22676474 | Train Error: -0.47964515 | Test Error: -1.09222463 | Train Error_abs: 4.46141216 | Test Error_abs: 2.16970771
Epoch 23 | Train Loss: 0.23198088 | Test Loss: 0.22669473 | Train Error: -0.76291741 | Test Error: -1.08985717 | Train Error_abs: 4.17086280 | Test Error_abs: 2.17084622
Epoch 24 | Train Loss: 0.23026407 | Test Loss: 0.22662549 | Train Error: -0.51131948 | Test Error: -1.08747023 | Train Error_abs: 4.16834741 | Test Error_abs: 2.17193905
Epoch 25 | Train Loss: 0.22887518 | Test Loss: 0.22655640 | Train Error: -0.30620080 | Test Error: -1.08506482 | Train Error_abs: 4.35120863 | Test Error_abs: 2.17307941
Epoch 26 | Train Loss: 0.22770854 | Test Loss: 0.22646967 | Train Error: -0.98042574 | Test Error: -1.08261435 | Train Error_abs: 3.52197692 | Test Error_abs: 2.17399484
Epoch 27 | Train Loss: 0.22670593 | Test Loss: 0.22620413 | Train Error: -0.85284754 | Test Error: -1.08068016 | Train Error_abs: 3.48957035 | Test Error_abs: 2.17523758
Epoch 28 | Train Loss: 0.22574374 | Test Loss: 0.22569531 | Train Error: -0.79917097 | Test Error: -1.07929937 | Train Error_abs: 3.57605985 | Test Error_abs: 2.17912903
Epoch 29 | Train Loss: 0.22491724 | Test Loss: 0.22522266 | Train Error: -0.97790374 | Test Error: -1.07749706 | Train Error_abs: 4.11358757 | Test Error_abs: 2.18470678
Epoch 30 | Train Loss: 0.22407422 | Test Loss: 0.22448062 | Train Error: -0.65131333 | Test Error: -1.07751263 | Train Error_abs: 3.69337644 | Test Error_abs: 2.19420950
Epoch 31 | Train Loss: 0.22350243 | Test Loss: 0.22408580 | Train Error: -0.97135289 | Test Error: -1.07557148 | Train Error_abs: 3.57638558 | Test Error_abs: 2.19959549
Epoch 32 | Train Loss: 0.22262051 | Test Loss: 0.22368396 | Train Error: -0.85161962 | Test Error: -1.07383241 | Train Error_abs: 3.59779774 | Test Error_abs: 2.20558819
Epoch 33 | Train Loss: 0.22206318 | Test Loss: 0.22295845 | Train Error: -0.51788528 | Test Error: -1.07336563 | Train Error_abs: 3.75116614 | Test Error_abs: 2.22046493
Epoch 34 | Train Loss: 0.22133513 | Test Loss: 0.22221333 | Train Error: -0.27349575 | Test Error: -1.07470559 | Train Error_abs: 4.14027683 | Test Error_abs: 2.23269237
Epoch 35 | Train Loss: 0.22067867 | Test Loss: 0.22120491 | Train Error: -1.77026707 | Test Error: -1.07691214 | Train Error_abs: 4.29362538 | Test Error_abs: 2.25437837
Epoch 36 | Train Loss: 0.22004319 | Test Loss: 0.21994864 | Train Error: -0.71828711 | Test Error: -1.08402093 | Train Error_abs: 3.91273251 | Test Error_abs: 2.28858152
Epoch 37 | Train Loss: 0.21926329 | Test Loss: 0.21878322 | Train Error: -0.24628032 | Test Error: -1.09497839 | Train Error_abs: 4.18720871 | Test Error_abs: 2.32586911
Epoch 38 | Train Loss: 0.21877300 | Test Loss: 0.21759279 | Train Error: -0.40242162 | Test Error: -1.10313208 | Train Error_abs: 4.07084497 | Test Error_abs: 2.36039035
